,question,answer,image_id,answer_idx,tokens,indexed
6807,what is under the white cabinet on the right side of the oven and and on the left side of the fridge,sink,image2,-1,"['what', 'is', 'under', 'the', 'white', 'cabinet', 'on', 'the', 'right', 'side', 'of', 'the', 'oven', 'and', 'and', 'on', 'the', 'left', 'side', 'of', 'the', 'fridge']","[1060, 510, 1025, 966, 1067, 137, 646, 966, 785, 854, 643, 966, 667, 15, 15, 646, 966, 562, 854, 643]"
6808,what is left of chair,computer,image296,-1,"['what', 'is', 'left', 'of', 'chair']","[1060, 510, 562, 643, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6809,what is in the shelves,"glass, container, bottle, decorative_item",image1350,-1,"['what', 'is', 'in', 'the', 'shelves']","[1060, 510, 500, 966, 844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6810,what is on the right most side on the table,lamp,image421,-1,"['what', 'is', 'on', 'the', 'right', 'most', 'side', 'on', 'the', 'table']","[1060, 510, 646, 966, 785, 612, 854, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6811,what object is found on the burner,tea_kettle,image877,-1,"['what', 'object', 'is', 'found', 'on', 'the', 'burner']","[1060, 639, 510, 391, 646, 966, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6812,what are the objects on the counter,"printer, monitor, laptop, paper_holder, file",image471,-1,"['what', 'are', 'the', 'objects', 'on', 'the', 'counter']","[1060, 26, 966, 640, 646, 966, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6813,what is the largest object,refridgerator,image2,-1,"['what', 'is', 'the', 'largest', 'object']","[1060, 510, 966, 554, 639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6814,how many pairs of socks are on the toy table,1,image424,-1,"['how', 'many', 'pairs', 'of', 'socks', 'are', 'on', 'the', 'toy', 'table']","[474, 588, 677, 643, 872, 26, 646, 966, 1000, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6815,what is the object below the counter,cabinet,image862,-1,"['what', 'is', 'the', 'object', 'below', 'the', 'counter']","[1060, 510, 966, 639, 72, 966, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6816,how many monitors are there,3,image111,-1,"['how', 'many', 'monitors', 'are', 'there']","[474, 588, 609, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6817,what is the colour of the comforter,"blue, white",image947,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'comforter']","[1060, 510, 966, 211, 643, 966, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6818,what is the below the fire extinguisher,basket,image8,-1,"['what', 'is', 'the', 'below', 'the', 'fire', 'extinguisher']","[1060, 510, 966, 72, 966, 365, 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6819,what is in front of the black monitor,keyboard,image389,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'black', 'monitor']","[1060, 510, 500, 400, 643, 966, 90, 608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6820,what is the object on the stool,lamp,image998,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'stool']","[1060, 510, 966, 639, 646, 966, 916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6821,what is the object stuck close to the wall,wall_decoration,image106,-1,"['what', 'is', 'the', 'object', 'stuck', 'close', 'to', 'the', 'wall']","[1060, 510, 966, 639, 925, 196, 984, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6822,what are the things found in front of the window,"chair, plant, pillow",image1108,-1,"['what', 'are', 'the', 'things', 'found', 'in', 'front', 'of', 'the', 'window']","[1060, 26, 966, 971, 391, 500, 400, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6823,what is immediately on the left side of the chair,laptop,image393,-1,"['what', 'is', 'immediately', 'on', 'the', 'left', 'side', 'of', 'the', 'chair']","[1060, 510, 499, 646, 966, 562, 854, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6824,what is behind the chair,table,image603,-1,"['what', 'is', 'behind', 'the', 'chair']","[1060, 510, 70, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6825,what is in front of the sofa,table,image1304,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'sofa']","[1060, 510, 500, 400, 643, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6826,what colour is the wall,white,image547,-1,"['what', 'colour', 'is', 'the', 'wall']","[1060, 211, 510, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6827,what is on the right side of the keyboard,mouse,image456,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'keyboard']","[1060, 510, 646, 966, 785, 854, 643, 966, 529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6828,how many dark brown chairs are there around the table,3,image799,-1,"['how', 'many', 'dark', 'brown', 'chairs', 'are', 'there', 'around', 'the', 'table']","[474, 588, 272, 122, 178, 26, 969, 31, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6829,what is to the right of the bed,cabinet,image1071,-1,"['what', 'is', 'to', 'the', 'right', 'of', 'the', 'bed']","[1060, 510, 984, 966, 785, 643, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6830,what is the object on the table if front of the chair,telephone,image40,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'table', 'if', 'front', 'of', 'the', 'chair']","[1060, 510, 966, 639, 646, 966, 944, 478, 400, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0]"
6831,what is the object close to the wall,door,image635,-1,"['what', 'is', 'the', 'object', 'close', 'to', 'the', 'wall']","[1060, 510, 966, 639, 196, 984, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6832,what is the colour of the shirt on the picture,green,image179,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'shirt', 'on', 'the', 'picture']","[1060, 510, 966, 211, 643, 966, 845, 646, 966, 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6833,what are the things on the table,"lamp, photo, decorative_item",image1412,-1,"['what', 'are', 'the', 'things', 'on', 'the', 'table']","[1060, 26, 966, 971, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6834,how many steps are there in the step stool,2,image884,-1,"['how', 'many', 'steps', 'are', 'there', 'in', 'the', 'step', 'stool']","[474, 588, 910, 26, 969, 500, 966, 909, 916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6835,how many window casings are there,3,image995,-1,"['how', 'many', 'window', 'casings', 'are', 'there']","[474, 588, 1072, 165, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6836,how many doors,2,image29,-1,"['how', 'many', 'doors']","[474, 588, 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6837,how many towels are there,4,image693,-1,"['how', 'many', 'towels', 'are', 'there']","[474, 588, 999, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6838,what is on the left side of the table,ornamental_plant,image810,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'table']","[1060, 510, 646, 966, 562, 854, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6839,what is on the right side of the table,chair,image1032,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'table']","[1060, 510, 646, 966, 785, 854, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6840,what is to the right of the door way,grandfather_clock,image1406,-1,"['what', 'is', 'to', 'the', 'right', 'of', 'the', 'door', 'way']","[1060, 510, 984, 966, 785, 643, 966, 307, 1056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6841,what are the objects on the mantel,"candlestick, candle",image1380,-1,"['what', 'are', 'the', 'objects', 'on', 'the', 'mantel']","[1060, 26, 966, 640, 646, 966, 586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6842,what is the object on the shelves,towel,image669,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'shelves']","[1060, 510, 966, 639, 646, 966, 844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6843,how many doors are open,1,image1037,-1,"['how', 'many', 'doors', 'are', 'open']","[474, 588, 309, 26, 651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6844,what is the colour of the bag,"red, black",image1136,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'bag']","[1060, 510, 966, 211, 643, 966, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6845,what is the colour of the chair,red,image599,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'chair']","[1060, 510, 966, 211, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6846,what is on the right side of the monitor,window,image1301,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'monitor']","[1060, 510, 646, 966, 785, 854, 643, 966, 608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6847,what is in front of the sofa,table,image1429,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'sofa']","[1060, 510, 500, 400, 643, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6848,what objects are on the table,"glass, clock, incense_holder",image1273,-1,"['what', 'objects', 'are', 'on', 'the', 'table']","[1060, 640, 26, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6849,what is the largest wooden object in this picture,bookshelf,image472,-1,"['what', 'is', 'the', 'largest', 'wooden', 'object', 'in', 'this', 'picture']","[1060, 510, 966, 554, 1084, 639, 500, 974, 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6850,how many lamps are there on the table,2,image466,-1,"['how', 'many', 'lamps', 'are', 'there', 'on', 'the', 'table']","[474, 588, 547, 26, 969, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6851,what is to the left of the table,toys_rack,image1066,-1,"['what', 'is', 'to', 'the', 'left', 'of', 'the', 'table']","[1060, 510, 984, 966, 562, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6852,what is at the left bottom corner,chair,image1285,-1,"['what', 'is', 'at', 'the', 'left', 'bottom', 'corner']","[1060, 510, 32, 966, 562, 112, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6853,what is on the sofa,pillow,image261,-1,"['what', 'is', 'on', 'the', 'sofa']","[1060, 510, 646, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6854,what is in the corner of the room,lamp,image1302,-1,"['what', 'is', 'in', 'the', 'corner', 'of', 'the', 'room']","[1060, 510, 500, 966, 240, 643, 966, 796, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6855,what is found in the inner room,cabinet,image1441,-1,"['what', 'is', 'found', 'in', 'the', 'inner', 'room']","[1060, 510, 391, 500, 966, 504, 796, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6856,what is the colour of napkin,white,image706,-1,"['what', 'is', 'the', 'colour', 'of', 'napkin']","[1060, 510, 966, 211, 643, 621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6857,what is the object close to the sink,faucet,image657,-1,"['what', 'is', 'the', 'object', 'close', 'to', 'the', 'sink']","[1060, 510, 966, 639, 196, 984, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6858,how many swivel chairs are there in front of the brown table,1,image30,-1,"['how', 'many', 'swivel', 'chairs', 'are', 'there', 'in', 'front', 'of', 'the', 'brown', 'table']","[474, 588, 940, 178, 26, 969, 500, 400, 643, 966, 122, 944, 0, 0, 0, 0, 0, 0, 0, 0]"
6859,what is between the fan coil and the sofa,"tv_stand, television",image156,-1,"['what', 'is', 'between', 'the', 'fan', 'coil', 'and', 'the', 'sofa']","[1060, 510, 78, 966, 352, 206, 15, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6860,what is found in front of the window,cradle,image1198,-1,"['what', 'is', 'found', 'in', 'front', 'of', 'the', 'window']","[1060, 510, 391, 500, 400, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6861,what is on the left side of the sink,bowl,image561,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'sink']","[1060, 510, 646, 966, 562, 854, 643, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6862,how many pictures are there on the wall,5,image921,-1,"['how', 'many', 'pictures', 'are', 'there', 'on', 'the', 'wall']","[474, 588, 704, 26, 969, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6863,what is on the right side of the drawer,picture,image1149,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'drawer']","[1060, 510, 646, 966, 785, 854, 643, 966, 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6864,how many mirrors are there on the wall and next to the window,1,image990,-1,"['how', 'many', 'mirrors', 'are', 'there', 'on', 'the', 'wall', 'and', 'next', 'to', 'the', 'window']","[474, 588, 605, 26, 969, 646, 966, 1049, 15, 628, 984, 966, 1072, 0, 0, 0, 0, 0, 0, 0]"
6865,what is with blue and red combination,floor_mat,image316,-1,"['what', 'is', 'with', 'blue', 'and', 'red', 'combination']","[1060, 510, 1080, 98, 15, 771, 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6866,what color is the leather sofa,brown,image383,-1,"['what', 'color', 'is', 'the', 'leather', 'sofa']","[1060, 207, 510, 966, 560, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6867,what is on the right most side on the drawer table,carton,image543,-1,"['what', 'is', 'on', 'the', 'right', 'most', 'side', 'on', 'the', 'drawer', 'table']","[1060, 510, 646, 966, 785, 612, 854, 646, 966, 313, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6868,what is the object on the on the wall above the sink,mirror,image721,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'on', 'the', 'wall', 'above', 'the', 'sink']","[1060, 510, 966, 639, 646, 966, 646, 966, 1049, 5, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0]"
6869,what is the on the floor in front of the window,table,image596,-1,"['what', 'is', 'the', 'on', 'the', 'floor', 'in', 'front', 'of', 'the', 'window']","[1060, 510, 966, 646, 966, 377, 500, 400, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6870,what is found at the left corner of the kitchen cabinet,sink,image902,-1,"['what', 'is', 'found', 'at', 'the', 'left', 'corner', 'of', 'the', 'kitchen', 'cabinet']","[1060, 510, 391, 32, 966, 562, 240, 643, 966, 536, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6871,what is left of sink,"bowl, spoon, plate",image561,-1,"['what', 'is', 'left', 'of', 'sink']","[1060, 510, 562, 643, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6872,what is in front of the window,cabinet,image1440,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'window']","[1060, 510, 500, 400, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6873,how many pillows are there on the bed,3,image1195,-1,"['how', 'many', 'pillows', 'are', 'there', 'on', 'the', 'bed']","[474, 588, 713, 26, 969, 646, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6874,what is the colour of the wall,green,image1024,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'wall']","[1060, 510, 966, 211, 643, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6875,what is kept on top of the storage rack in the front side,bottle,image1045,-1,"['what', 'is', 'kept', 'on', 'top', 'of', 'the', 'storage', 'rack', 'in', 'the', 'front', 'side']","[1060, 510, 526, 646, 993, 643, 966, 918, 759, 500, 966, 400, 854, 0, 0, 0, 0, 0, 0, 0]"
6876,what is the colour of the screen,green,image8,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'screen']","[1060, 510, 966, 211, 643, 966, 819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6877,what is to the right of the bed,cabinet,image1094,-1,"['what', 'is', 'to', 'the', 'right', 'of', 'the', 'bed']","[1060, 510, 984, 966, 785, 643, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6878,what is the colour of the hat,green,image1124,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'hat']","[1060, 510, 966, 211, 643, 966, 446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6879,what is found in between the cabinets,bed,image1147,-1,"['what', 'is', 'found', 'in', 'between', 'the', 'cabinets']","[1060, 510, 391, 500, 78, 966, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6880,what is the object found in the left side,window,image1138,-1,"['what', 'is', 'the', 'object', 'found', 'in', 'the', 'left', 'side']","[1060, 510, 966, 639, 391, 500, 966, 562, 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6881,what is in front of the wall,baby_chair,image1348,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'wall']","[1060, 510, 500, 400, 643, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6882,what is on the right side of the lamp,alarm_clock,image81,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'lamp']","[1060, 510, 646, 966, 785, 854, 643, 966, 546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6883,what is found in front of the window,bed,image1120,-1,"['what', 'is', 'found', 'in', 'front', 'of', 'the', 'window']","[1060, 510, 391, 500, 400, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6884,what is to the left of the chair,piano,image478,-1,"['what', 'is', 'to', 'the', 'left', 'of', 'the', 'chair']","[1060, 510, 984, 966, 562, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6885,what is in front of the paper,glass,image795,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'paper']","[1060, 510, 500, 400, 643, 966, 681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6886,what is on the right side of the black equipment,cup,image410,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'black', 'equipment']","[1060, 510, 646, 966, 785, 854, 643, 966, 90, 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6887,how many chairs are there,6,image810,-1,"['how', 'many', 'chairs', 'are', 'there']","[474, 588, 178, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6888,what is beneath the piano,piano_bench,image1254,-1,"['what', 'is', 'beneath', 'the', 'piano']","[1060, 510, 75, 966, 702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6889,what is the pink object on the night stand,alarm_clock,image1200,-1,"['what', 'is', 'the', 'pink', 'object', 'on', 'the', 'night', 'stand']","[1060, 510, 966, 715, 639, 646, 966, 629, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6890,what is on the stand,clothes,image407,-1,"['what', 'is', 'on', 'the', 'stand']","[1060, 510, 646, 966, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6891,what is held in the coffee machine,coffee_pot,image872,-1,"['what', 'is', 'held', 'in', 'the', 'coffee', 'machine']","[1060, 510, 452, 500, 966, 205, 579, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6892,what is on the right side wall,light_switch,image1334,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'wall']","[1060, 510, 646, 966, 785, 854, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6893,what object is found on both left and right,sofa,image1297,-1,"['what', 'object', 'is', 'found', 'on', 'both', 'left', 'and', 'right']","[1060, 639, 510, 391, 646, 109, 562, 15, 785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6894,what is to the right of the sink,tissue_roll,image410,-1,"['what', 'is', 'to', 'the', 'right', 'of', 'the', 'sink']","[1060, 510, 984, 966, 785, 643, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6895,what is on the table,bag,image493,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6896,what is at the right side of the cabinet,bed,image1178,-1,"['what', 'is', 'at', 'the', 'right', 'side', 'of', 'the', 'cabinet']","[1060, 510, 32, 966, 785, 854, 643, 966, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6897,what are the objects on the bed,"pillow, blanket",image64,-1,"['what', 'are', 'the', 'objects', 'on', 'the', 'bed']","[1060, 26, 966, 640, 646, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6898,what is on the ceiling,"fan, light",image906,-1,"['what', 'is', 'on', 'the', 'ceiling']","[1060, 510, 646, 966, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6899,what is the colour of the soap where the faucet is facing,purple,image868,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'soap', 'where', 'the', 'faucet', 'is', 'facing']","[1060, 510, 966, 211, 643, 966, 868, 1063, 966, 356, 510, 350, 0, 0, 0, 0, 0, 0, 0, 0]"
6900,how many drawers are there in the night stand,2,image1129,-1,"['how', 'many', 'drawers', 'are', 'there', 'in', 'the', 'night', 'stand']","[474, 588, 314, 26, 969, 500, 966, 629, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6901,what is at the right bottom,sofa,image1327,-1,"['what', 'is', 'at', 'the', 'right', 'bottom']","[1060, 510, 32, 966, 785, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6902,what is the colour of the lamp,"black, white",image1085,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'lamp']","[1060, 510, 966, 211, 643, 966, 546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6903,what is in the rack,picture,image103,-1,"['what', 'is', 'in', 'the', 'rack']","[1060, 510, 500, 966, 759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6904,how many tiers does the spice rack have,3,image133,-1,"['how', 'many', 'tiers', 'does', 'the', 'spice', 'rack', 'have']","[474, 588, 978, 298, 966, 881, 759, 447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6905,what is found near the right side wall,table,image1177,-1,"['what', 'is', 'found', 'near', 'the', 'right', 'side', 'wall']","[1060, 510, 391, 623, 966, 785, 854, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6906,what is the object close to the wall right side of the t shirt,window,image1066,-1,"['what', 'is', 'the', 'object', 'close', 'to', 'the', 'wall', 'right', 'side', 'of', 'the', 't', 'shirt']","[1060, 510, 966, 639, 196, 984, 966, 1049, 785, 854, 643, 966, 943, 845, 0, 0, 0, 0, 0, 0]"
6907,what is to the right side of the window,cabinet,image1068,-1,"['what', 'is', 'to', 'the', 'right', 'side', 'of', 'the', 'window']","[1060, 510, 984, 966, 785, 854, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6908,what is in front of the table,garbage_bin,image876,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'table']","[1060, 510, 500, 400, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6909,what is behind the table,sofa,image1235,-1,"['what', 'is', 'behind', 'the', 'table']","[1060, 510, 70, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6910,what is the object on the counter,"monitor, keyboard, mouse, pen, paper",image621,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'counter']","[1060, 510, 966, 639, 646, 966, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6911,what is found at the left side,table,image1269,-1,"['what', 'is', 'found', 'at', 'the', 'left', 'side']","[1060, 510, 391, 32, 966, 562, 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6912,what is on the right side of the night stand,cables,image1033,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'night', 'stand']","[1060, 510, 646, 966, 785, 854, 643, 966, 629, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6913,what is hung on the wall near the bed,wall_decoration,image1045,-1,"['what', 'is', 'hung', 'on', 'the', 'wall', 'near', 'the', 'bed']","[1060, 510, 475, 646, 966, 1049, 623, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6914,what is the object on the floor in front of the screen,toilet,image744,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'floor', 'in', 'front', 'of', 'the', 'screen']","[1060, 510, 966, 639, 646, 966, 377, 500, 400, 643, 966, 819, 0, 0, 0, 0, 0, 0, 0, 0]"
6915,what is present on top of the desk,desk_mat,image1043,-1,"['what', 'is', 'present', 'on', 'top', 'of', 'the', 'desk']","[1060, 510, 748, 646, 993, 643, 966, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6916,what is found to the right side of the cot,cabinet,image989,-1,"['what', 'is', 'found', 'to', 'the', 'right', 'side', 'of', 'the', 'cot']","[1060, 510, 391, 984, 966, 785, 854, 643, 966, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6917,what is in front of the window,ornamental_plant,image817,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'window']","[1060, 510, 500, 400, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6918,what is on the right side of the ornamental plant,blinds,image900,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'ornamental', 'plant']","[1060, 510, 646, 966, 785, 854, 643, 966, 658, 722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6919,what is the colour of the flowers,"yellow, red",image805,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'flowers']","[1060, 510, 966, 211, 643, 966, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
